id,asin,rv_stars_rating,rv_titre,rv_date,rv_pays,rv_achat,rv_body,rv_utile,rv_lien
1,B07ZHJFH4W,"1,0","TV pas chère , elle a fonctionné moins d'une semaine avant de tomber en panne (écran noir , rien à faire).",26/3/2020,France,Achat vérifié,"TV pas chère , elle a fonctionné moins d'une semaine avant de tomber en panne (écran noir , rien à faire).",117 personnes ont trouvé cela utile,/gp/customer-reviews/R41FENESDRDVB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
2,B07ZHJFH4W,"4,0",Image:,9/10/2020,France,Achat vérifié,Image:,40 personnes ont trouvé cela utile,/gp/customer-reviews/R7MSS4YMPQQJY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
3,B07ZHJFH4W,"5,0","Belle, surprenante, Sauf à découvrir un défaut ultérieur, grande satisfaction surtout pour un tel prix! Emballage, OK. Montage des pieds OK. Après quelques difficultés à la mise en route, il ne faut pas se tromper sinon ça se complique, surtout que les indications du fascicule heureusement en Français, ne sont pas d'une grande clarté, c'est le bonheur, belle image, son pas plus mauvais que chez les autres fabricants mais ce serait bien qu'ils fassent tous un effort de ce côté, j'ai vite connecté ma barre de son, et là, immersion dans le film de Netfix que j'ai lancé. En plus il y a beaucoup d'applications et bien d'autres à découvrir ou possible d'installer. De quoi s'occuper durant le nouveau confinement. A signaler que le personnel de CHIQ est très réactif aux demandes des clients, c'est important avec ce type d'acquisition.",6/11/2020,France,Achat vérifié,"Belle, surprenante, Sauf à découvrir un défaut ultérieur, grande satisfaction surtout pour un tel prix! Emballage, OK. Montage des pieds OK. Après quelques difficultés à la mise en route, il ne faut pas se tromper sinon ça se complique, surtout que les indications du fascicule heureusement en Français, ne sont pas d'une grande clarté, c'est le bonheur, belle image, son pas plus mauvais que chez les autres fabricants mais ce serait bien qu'ils fassent tous un effort de ce côté, j'ai vite connecté ma barre de son, et là, immersion dans le film de Netfix que j'ai lancé. En plus il y a beaucoup d'applications et bien d'autres à découvrir ou possible d'installer. De quoi s'occuper durant le nouveau confinement. A signaler que le personnel de CHIQ est très réactif aux demandes des clients, c'est important avec ce type d'acquisition.",6 personnes ont trouvé cela utile,/gp/customer-reviews/RS7MSU4YCSC1R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
4,B07ZHJFH4W,"2,0","Je reviens sur mon premier commentaire. Télécommande complètement défectueuse... Devoir appuyer à répétition sur une touche pour que ça réponde, bug de la TV. Je me suis tout de même posée la question à savoir si ça venait de moi et en regardant sur Internet c'est un réel problème sur cette télé... Contacter le fabricant qui me répond je vous envoi une télécommande jamais reçue ! De plus la télé n'a aucun bouton de commande sur la TV... Les télécommandes universelles ne passent pas avec  la marque ! Résultat si télécommande fichue... La TV aussi !!! Très mauvaise expérience !!!!",28/7/2020,France,Achat vérifié,"Je reviens sur mon premier commentaire. Télécommande complètement défectueuse... Devoir appuyer à répétition sur une touche pour que ça réponde, bug de la TV. Je me suis tout de même posée la question à savoir si ça venait de moi et en regardant sur Internet c'est un réel problème sur cette télé... Contacter le fabricant qui me répond je vous envoi une télécommande jamais reçue ! De plus la télé n'a aucun bouton de commande sur la TV... Les télécommandes universelles ne passent pas avec  la marque ! Résultat si télécommande fichue... La TV aussi !!! Très mauvaise expérience !!!!",8 personnes ont trouvé cela utile,/gp/customer-reviews/R2814YFAXWSGAP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
5,B07ZHJFH4W,"5,0","C'est bluffant. Pour un prix autour des 300€, une télévision multi-fonctions, réactive, sans bugs, et avec toutes les options voulues. J'adore cette TV, qui remplace plus qu'avantageusement le modèle 4K 40 pouces (dont l'écran, très fragile, m'avait valu un retour SAV).",14/2/2020,France,Achat vérifié,"C'est bluffant. Pour un prix autour des 300€, une télévision multi-fonctions, réactive, sans bugs, et avec toutes les options voulues. J'adore cette TV, qui remplace plus qu'avantageusement le modèle 4K 40 pouces (dont l'écran, très fragile, m'avait valu un retour SAV).",6 personnes ont trouvé cela utile,/gp/customer-reviews/R31J7189IQH4QT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
6,B07ZHJFH4W,"1,0", Recu dans son carton sans aucune protection extérieur! Déjà ça n’engage pas à la confiance..,3/11/2020,France,Achat vérifié, Recu dans son carton sans aucune protection extérieur! Déjà ça n’engage pas à la confiance..,7 personnes ont trouvé cela utile,/gp/customer-reviews/R2461KTTVCHMK3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
7,B07ZHJFH4W,"5,0","Réception en moins de 24h. Le livreur attend que je vérifie que l'écran est intact. J'installe les pieds, je branche. Je configure les qqs réglages de mise en route ( notamment le WiFi ). La TV fait qqs mises à jour logiciels. Ensuite recherhce des chaînes TNT, je me connecte à mes comptes Google, Netflix et Amazon Vidéo. Et c'est fini ! Je test la Smart TV CHIQ, et franchement pour le rapport qualité/prix, ça fait plus que la blague, tout fonctionne parfaitement, connectivité très rapide et pour l'instant aucun bug. Pour quelqu'un qui recherche une Smart TV de 43'' sans trop d'exigence et petit budget (285€), JE RECOMMANDE !!!",18/9/2020,France,Achat vérifié,"Réception en moins de 24h. Le livreur attend que je vérifie que l'écran est intact. J'installe les pieds, je branche. Je configure les qqs réglages de mise en route ( notamment le WiFi ). La TV fait qqs mises à jour logiciels. Ensuite recherhce des chaînes TNT, je me connecte à mes comptes Google, Netflix et Amazon Vidéo. Et c'est fini ! Je test la Smart TV CHIQ, et franchement pour le rapport qualité/prix, ça fait plus que la blague, tout fonctionne parfaitement, connectivité très rapide et pour l'instant aucun bug. Pour quelqu'un qui recherche une Smart TV de 43'' sans trop d'exigence et petit budget (285€), JE RECOMMANDE !!!",5 personnes ont trouvé cela utile,/gp/customer-reviews/R1KQND6CGYM0V2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
8,B07ZHJFH4W,"5,0","Configuration en ~5 minutes. L'image est vraiment belle. Le son plutôt correct pour les films (après réglages). Et pour les jeux vidéos, je peux pas répondre, pas de consoles. La télécommande est très fluide, même sur le clavier numérique, et agréable au touché. Pour les applis: (netflix, prime vidéos, disney+ (je suis abonné), pluto tv fonctionnent très bien). J'ai testé avec la série the mandalorian avec mes gamins, vraiment bien. J'ai la 43'' à 359,99. Reçu le 16/02/21.",16/2/2021,France,Achat vérifié,"Configuration en ~5 minutes. L'image est vraiment belle. Le son plutôt correct pour les films (après réglages). Et pour les jeux vidéos, je peux pas répondre, pas de consoles. La télécommande est très fluide, même sur le clavier numérique, et agréable au touché. Pour les applis: (netflix, prime vidéos, disney+ (je suis abonné), pluto tv fonctionnent très bien). J'ai testé avec la série the mandalorian avec mes gamins, vraiment bien. J'ai la 43'' à 359,99. Reçu le 16/02/21.",3 personnes ont trouvé cela utile,/gp/customer-reviews/RA9QAHYDZ1ZCH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
9,B07ZHJFH4W,"4,0","Avis de début d'utilisation, la durabilité est donc inconnu, mais au premier abord pour le prix c'est imbattable.",13/9/2020,France,Achat vérifié,"Avis de début d'utilisation, la durabilité est donc inconnu, mais au premier abord pour le prix c'est imbattable.",2 personnes ont trouvé cela utile,/gp/customer-reviews/RRTLG6LOVQRQI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
10,B07ZHJFH4W,"5,0","J'avais un budget limité mais souhait un grand écran avec une bonne image, le reste étant accessoire. Basé sur les commentaires et un test sur Internet, j'ai choisi cet écran  et ne suis pas déçu. Livrée en deux jours dans un simple carton très léger, mais l'emballage d'origine est déjà robuste et la protège bien. La notice en français est bien faite et le montage est très simple (je l'ai fait tout seul même si un peu difficile de la sortir seul du carton). La qualité d'image est très bonne compte après quelques réglages (87% de sRGB couvert avec sonde colorimètrique) et surtout vu le prix. Le son est assez puissant mais sonne ""creux"", probablement causé par la légèreté des matériaux du panneau arrière). Je ne voulais pas de télé connectée mais pas vraiment le choix à l'heure actuelle : ça ne m'a pas dérangé du tout car elle démarre vite et n'est pas envahie par menus et applis inutiles. Je n'ai d'ailleurs pas connecté la télé à Internet et elle fonctionne parfaitement après refus des conditions d'utilisation (mise à jour firmware possible par USB). Recherche des chaînes TNT très facile et rapide. Compatible satellite. La finition est soignée (belle face avant, frameless) mais les matériaux un peu légers (coque arrière tout plastique assez souple).",7/9/2020,France,Achat vérifié,"J'avais un budget limité mais souhait un grand écran avec une bonne image, le reste étant accessoire. Basé sur les commentaires et un test sur Internet, j'ai choisi cet écran  et ne suis pas déçu. Livrée en deux jours dans un simple carton très léger, mais l'emballage d'origine est déjà robuste et la protège bien. La notice en français est bien faite et le montage est très simple (je l'ai fait tout seul même si un peu difficile de la sortir seul du carton). La qualité d'image est très bonne compte après quelques réglages (87% de sRGB couvert avec sonde colorimètrique) et surtout vu le prix. Le son est assez puissant mais sonne ""creux"", probablement causé par la légèreté des matériaux du panneau arrière). Je ne voulais pas de télé connectée mais pas vraiment le choix à l'heure actuelle : ça ne m'a pas dérangé du tout car elle démarre vite et n'est pas envahie par menus et applis inutiles. Je n'ai d'ailleurs pas connecté la télé à Internet et elle fonctionne parfaitement après refus des conditions d'utilisation (mise à jour firmware possible par USB). Recherche des chaînes TNT très facile et rapide. Compatible satellite. La finition est soignée (belle face avant, frameless) mais les matériaux un peu légers (coque arrière tout plastique assez souple).",2 personnes ont trouvé cela utile,/gp/customer-reviews/R1YT8QD7E98N6X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
