asin,rv_stars_rating,rv_titre,rv_date,rv_pays,rv_achat,rv_body,rv_utile,rv_lien
B09M4BFZK7,"1,0",Jolie montre mais impossible de l'appairer avec mon smartphone honor view 10 qui fait partie des smartphone de chez huawei. Sur le site support de garmin il est indiqué que garmin n'est pas sûr que la montre fonctionne avec les smartphones huawei. Il aurait été préférable de l'indiquer ici. Je l'ai renvoyée.,7/5/2022,France,Achat vérifié,Jolie montre mais impossible de l'appairer avec mon smartphone honor view 10 qui fait partie des smartphone de chez huawei. Sur le site support de garmin il est indiqué que garmin n'est pas sûr que la montre fonctionne avec les smartphones huawei. Il aurait été préférable de l'indiquer ici. Je l'ai renvoyée.,,/gp/customer-reviews/R2OHRP0Q2A5RM7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09M4BFZK7
B09M4BFZK7,"5,0",,10/2/2022,France,Achat vérifié,,2 personnes ont trouvé cela utile,/gp/customer-reviews/R3LGTUVFH9EL0I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09M4BFZK7
B09M4BFZK7,"5,0",Application à maîtriser car moins intuitif qu’une Apple mais pour le reste c’est le top !,18/2/2022,France,Achat vérifié,Application à maîtriser car moins intuitif qu’une Apple mais pour le reste c’est le top !,Une personne a trouvé cela utile,/gp/customer-reviews/RFBNZMWEBCXDK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09M4BFZK7
B09M4BFZK7,"2,0",Cette montre n'a qu'un intérêt; son autonomie: elle est bourrée de defauts et d'applications non abouties.,1/5/2022,France,,Cette montre n'a qu'un intérêt; son autonomie: elle est bourrée de defauts et d'applications non abouties.,Une personne a trouvé cela utile,/gp/customer-reviews/REH4TNGPA28VR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09M4BFZK7
B09M4BFZK7,"5,0",J'utilise énormément m'a montre connectée.,5/2/2022,France,Achat vérifié,J'utilise énormément m'a montre connectée.,12 personnes ont trouvé cela utile,/gp/customer-reviews/RQMLLK3YLHN8V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09M4BFZK7
B09M4BFZK7,"5,0",c'est vraiment une belle montre connectée et bien adapatée à la pratique du sport.,4/1/2022,France,,c'est vraiment une belle montre connectée et bien adapatée à la pratique du sport.,15 personnes ont trouvé cela utile,/gp/customer-reviews/R3LDGP2TXCJZVJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09M4BFZK7
B09M4BFZK7,"5,0","I have had a Venu 2 in the past and was very satisfied with it but you couldn't really call it smart, as it had no speaker / mic.  Enter the Venu 2 plus and now you have these.  This means that you can take calls on your wrist and invoke your phone's smart assistant, whether that be Google, Siri or Alexa. However the voice assistant feature operates in a slightly unexpected way, as it simply tells your phone what to do.  For example, if you say ""set a timer for 2 minutes"", it won't start the watch's inbuilt timer but starts one on your phone. This is OK once you realise what is going on and does have some advantages, in that for example you can take notes using the watch - something you can't do with the mighty Apple Watch.  So I don't mark the watch down because of this. One bonus is that you can now have audible alarms and other sounds which is a nice touch.",22/1/2022,Royaume-Uni,Achat vérifié,"I have had a Venu 2 in the past and was very satisfied with it but you couldn't really call it smart, as it had no speaker / mic.  Enter the Venu 2 plus and now you have these.  This means that you can take calls on your wrist and invoke your phone's smart assistant, whether that be Google, Siri or Alexa. However the voice assistant feature operates in a slightly unexpected way, as it simply tells your phone what to do.  For example, if you say ""set a timer for 2 minutes"", it won't start the watch's inbuilt timer but starts one on your phone. This is OK once you realise what is going on and does have some advantages, in that for example you can take notes using the watch - something you can't do with the mighty Apple Watch.  So I don't mark the watch down because of this. One bonus is that you can now have audible alarms and other sounds which is a nice touch.",14 personnes ont trouvé cela utile,
B09M4BFZK7,"1,0","Die Uhr wirkt wertiger als die Venu 2, die ich ebenfalls kurz hatte und liefert ein tolles Gesamtpaket. Trotz dem Aufpreis werde ich bei der 2 PLUS bleiben, da sie mir deutlich besser gefällt. Schicke Uhr macht Spaß!",9/1/2022,Allemagne,Achat vérifié,"Die Uhr wirkt wertiger als die Venu 2, die ich ebenfalls kurz hatte und liefert ein tolles Gesamtpaket. Trotz dem Aufpreis werde ich bei der 2 PLUS bleiben, da sie mir deutlich besser gefällt. Schicke Uhr macht Spaß!",24 personnes ont trouvé cela utile,
B09M4BFZK7,"2,0",è un venu 2 con microfono e speaker. se non avete bisogno di telefonare con l'orologio al momento non ne vale la pena. come assistente vocale utilizza quello dello smartphone con tutte le limitazioni del caso (esempio con schermo bloccato molti comandi non possono essere impartiti). la  delusione maggiore è data dal fatto che non è possibile rispondere ai messaggi tramite voce ma solo con le solite frasi preimpostate.,6/1/2022,Italie,Achat vérifié,è un venu 2 con microfono e speaker. se non avete bisogno di telefonare con l'orologio al momento non ne vale la pena. come assistente vocale utilizza quello dello smartphone con tutte le limitazioni del caso (esempio con schermo bloccato molti comandi non possono essere impartiti). la  delusione maggiore è data dal fatto che non è possibile rispondere ai messaggi tramite voce ma solo con le solite frasi preimpostate.,19 personnes ont trouvé cela utile,
B09M4BFZK7,"3,0","Watch was inclined to restart randomly. Also the brightness seemed quite random, especially at night when it would suddenly go really bright for no reason. The worst problem is the Google Assistant. Many actions will not work unless you unlock your phone first. So, you either keep your phone unlocked or you have to pick up the phone and unlock it. Kind of defeats the object of having the assistant on the watch.",17/2/2022,Royaume-Uni,Achat vérifié,"Watch was inclined to restart randomly. Also the brightness seemed quite random, especially at night when it would suddenly go really bright for no reason. The worst problem is the Google Assistant. Many actions will not work unless you unlock your phone first. So, you either keep your phone unlocked or you have to pick up the phone and unlock it. Kind of defeats the object of having the assistant on the watch.",3 personnes ont trouvé cela utile,
