id,asin,rv_stars_rating,rv_titre,rv_date,rv_pays,rv_achat,rv_body,rv_utile,rv_lien
1,B07ZHJFH4W,"1,0",Jolie télévision fiabilité douteuse,26/03/2020,France,Achat vérifié,"TV pas chère , elle a fonctionné moins d'une semaine avant de tomber en panne (écran noir , rien à faire). Pour le reste et pour le peu que j'ai pu l'essayer , l'image était bonne et l'interface android assez rapide avec des raccourcis vers AmzonPrime et Netflix bien pratiques sur la télécommande. Le gros point noir de cette tv (mis à part la fiabilité), c'est la partie son qui est vraiment pas top , un vrai son de gamelle ..... prévoir une barre de son  ou un home cinema. Bref à vous de voir , pour ma part l'expérience fut plus que decevante.....",117 personnes ont trouvé cela utile,/gp/customer-reviews/R41FENESDRDVB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
2,B07ZHJFH4W,"4,0","Rapport qualité/prix imbattable en Europe. Image très correcte, son potable-, OS en demi-teinte.",09/10/2020,France,Achat vérifié,"Image: La télé gère très bien les hautes résolutions (du 720p à la 4K), elle reste cependant en dessous quand il s’agit de la SD, mais pour le prix on ne peut pas s’attendre à avoir télé qui fait du traitement d’image. Seul hic, l’activation automatique de la Dolby Vision dans les applications compatibles, qui est souvent adaptée à une dalle OLED, mis à part quelques programmes qui se comptent sur les doigts de la main, l’image est souvent terne en Dolby Vision, en espérant qu’une future mise à jour nous laisse désactiver la Dolby Vision. 4/5 Son: À sa réception, le son était médiocre. Après quelques réglages, il devient potable. Mais ça manque de basse et de clarté dans la voix, je me retrouve souvent à mettre les sous-titres, je mets la moyenne, mais uniquement pour le prix. 2.5/5 Software: Téléviseur d’entrée de gamme équivaut à dire processeur en deçà de ses capacités. Sur Netflix et Prime, je n’ai rien à dire la dessus, ça ne beug presque jamais. Mais sur Plex, Disney+, ou encore l’assistant Google qui vous comprend une fois sur deux, la télé se met à ramer. Mais je préférerais toujours avoir une Android TV qui rame qu’une smart TV qui sera obsolète dans 1 an. 3/5",40 personnes ont trouvé cela utile,/gp/customer-reviews/R7MSS4YMPQQJY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
3,B07ZHJFH4W,"5,0",Qualité/prix OK!,06/11/2020,France,Achat vérifié,"Belle, surprenante, Sauf à découvrir un défaut ultérieur, grande satisfaction surtout pour un tel prix! Emballage, OK. Montage des pieds OK. Après quelques difficultés à la mise en route, il ne faut pas se tromper sinon ça se complique, surtout que les indications du fascicule heureusement en Français, ne sont pas d'une grande clarté, c'est le bonheur, belle image, son pas plus mauvais que chez les autres fabricants mais ce serait bien qu'ils fassent tous un effort de ce côté, j'ai vite connecté ma barre de son, et là, immersion dans le film de Netfix que j'ai lancé. En plus il y a beaucoup d'applications et bien d'autres à découvrir ou possible d'installer. De quoi s'occuper durant le nouveau confinement. A signaler que le personnel de CHIQ est très réactif aux demandes des clients, c'est important avec ce type d'acquisition.",6 personnes ont trouvé cela utile,/gp/customer-reviews/RS7MSU4YCSC1R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
4,B07ZHJFH4W,"2,0",À fuire !!!!,28/07/2020,France,Achat vérifié,"Je reviens sur mon premier commentaire. Télécommande complètement défectueuse... Devoir appuyer à répétition sur une touche pour que ça réponde, bug de la TV. Je me suis tout de même posée la question à savoir si ça venait de moi et en regardant sur Internet c'est un réel problème sur cette télé... Contacter le fabricant qui me répond je vous envoi une télécommande jamais reçue ! De plus la télé n'a aucun bouton de commande sur la TV... Les télécommandes universelles ne passent pas avec  la marque ! Résultat si télécommande fichue... La TV aussi !!! Très mauvaise expérience !!!!",8 personnes ont trouvé cela utile,/gp/customer-reviews/R2814YFAXWSGAP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
5,B07ZHJFH4W,"5,0",Une bonne affaire!,14/02/2020,France,Achat vérifié,"C'est bluffant. Pour un prix autour des 300€, une télévision multi-fonctions, réactive, sans bugs, et avec toutes les options voulues. J'adore cette TV, qui remplace plus qu'avantageusement le modèle 4K 40 pouces (dont l'écran, très fragile, m'avait valu un retour SAV). Chiq a de l'avenir, c'est certain, et je vous recommande cette télé. Bien sûr, comme pour toutes les TV multi-fonctions, il faut un peu de patience, mais on va de découvertes en découvertes. Magnifiquement agencée. Et l'image (contrairement à d'autres avis) est très nette et de toutes façons paramétrable, comme le son, comme tout le reste.. J'ajoute une petite explication que j'espère utile : quand on connecte une clé USB, elle apparaît sur l'écran d'accueil. Si l'on clique dessus, il vous sera proposé de la formater pour l'utiliser comme outil de stockage. J'ai dû un peu chercher pour lire des vidéos sur la clé et la solution est très simple : il suffit de lancer une appli média (VLC par exemple) et là, vous aurez accès à tous vos fichiers et vous pourrez paramétrer la lecture (taille sous-titres, options vidéo et audio (lit jusqu'à présent tous les types de fichiers) y compris les MKV, WMV, MP4 et AVI.",6 personnes ont trouvé cela utile,/gp/customer-reviews/R31J7189IQH4QT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
6,B07ZHJFH4W,"1,0",Pas de protection du colis,03/11/2020,France,Achat vérifié, Recu dans son carton sans aucune protection extérieur! Déjà ça n’engage pas à la confiance.. L’image a sauté dès le départ j’ai attendu mais en vain.. j’ai essayé une autre télé pour être certain et effectivement elle était défectueuse.. au bout de 2 jours!!! L’image était très bonne en revanche le son une catastrophe car j’ai acheté un modèle équivalent légèrement plus cher(40€ de plus) mais plus grand et le son est très bon! Remboursement dans les 5 jours après envoi donc aucun problème concernant Amazon! Je dirais qu’au vu de certains transporteurs et de l’absence de protection la télé a du subir quelques coups..,7 personnes ont trouvé cela utile,/gp/customer-reviews/R2461KTTVCHMK3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
7,B07ZHJFH4W,"5,0",Parfait !,18/09/2020,France,Achat vérifié,"Réception en moins de 24h. Le livreur attend que je vérifie que l'écran est intact. J'installe les pieds, je branche. Je configure les qqs réglages de mise en route ( notamment le WiFi ). La TV fait qqs mises à jour logiciels. Ensuite recherhce des chaînes TNT, je me connecte à mes comptes Google, Netflix et Amazon Vidéo. Et c'est fini ! Je test la Smart TV CHIQ, et franchement pour le rapport qualité/prix, ça fait plus que la blague, tout fonctionne parfaitement, connectivité très rapide et pour l'instant aucun bug. Pour quelqu'un qui recherche une Smart TV de 43'' sans trop d'exigence et petit budget (285€), JE RECOMMANDE !!!",5 personnes ont trouvé cela utile,/gp/customer-reviews/R1KQND6CGYM0V2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
8,B07ZHJFH4W,"5,0",Bonne télévision,16/02/2021,France,Achat vérifié,"Configuration en ~5 minutes. L'image est vraiment belle. Le son plutôt correct pour les films (après réglages). Et pour les jeux vidéos, je peux pas répondre, pas de consoles. La télécommande est très fluide, même sur le clavier numérique, et agréable au touché. Pour les applis: (netflix, prime vidéos, disney+ (je suis abonné), pluto tv fonctionnent très bien). J'ai testé avec la série the mandalorian avec mes gamins, vraiment bien. J'ai la 43'' à 359,99. Reçu le 16/02/21.",3 personnes ont trouvé cela utile,/gp/customer-reviews/RA9QAHYDZ1ZCH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
9,B07ZHJFH4W,"4,0",CHiQ U50H7L UHD,13/09/2020,France,Achat vérifié,"Avis de début d'utilisation, la durabilité est donc inconnu, mais au premier abord pour le prix c'est imbattable. Moins de 350e une smart tv 4k 127cm (50 pouces) Avec une excellente qualité d'images (une foi bien régler) ""contraste a 85, luminosité a 43, couleur à 55, temp couleur sur froid"" et c'est niquel. Pour une utilisation sur PC (HDMI) penser à activer le mode PC dans les options de la TV si non l'image est pas entière. Je suis asser content de mon achat malgré 2 défauts, le son (pas grave je l'utilise avec un home cinema) et un point noir en bas a gauche de l'image comme plusieurs pixel mort les uns coller aux autres mais c pas gênant la plupart du temps c'est dans les barre noir 16:9 des films/séries.",2 personnes ont trouvé cela utile,/gp/customer-reviews/RRTLG6LOVQRQI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
10,B07ZHJFH4W,"4,0",Très bon rapport qualité-prix,02/01/2021,France,Achat vérifié,"Très bonne Télévision et fidèle a sa description, rapport qualité prix très bon. -> Avantages : Image : 4K UHD 60Hz HDR 10 Smart TV Android : Twitch, Youtube, Amazon Prime, Netflix télechargeable via playstore android (comme sur un telephonne) Google et Assistant google : Pratique, il suffit de prononcer, une recherche, un site, une question, ou le nom d'une chaîne ou d'une source et la Tv fais le reste. Interface : Fluide et simple d'utilisation, pas de chargements, sauf au lancement de la tv ( étant donné que c'est une tv android il y a un petit chargement au laucement, comme au lancement d'un téléphone par exemple ) --> Inconvénients, bémols : La TV étant fidèle a sa description, je ne vois pas vraiment d'inconvénients a proprement parler, néanmoins, nous pouvons relever le chargement a l'allumage de la TV comme un petit bémol. Qui se rattrape finalement par toutes les options que propose la TV.",2 personnes ont trouvé cela utile,/gp/customer-reviews/RNIUVHPOIE4N5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ZHJFH4W
