asin,rv_stars_rating,rv_titre,rv_date,rv_pays,rv_achat,rv_body,rv_utile,rv_lien
B09D8L99FM,"2,0 sur 5 étoiles",GROS PROBLEMES DE FONCTIONNEMENT,21-mai-2021,France,Achat vérifié,"J'ai acheté cette télévision par rapport aux commentaires sur le site Amazon.fr. Hélas après des difficultés pour la paramétrer car pas de notice en Français, une fois les chaînes recherchées, l'écran s'éteignait et se rallumait. J'ai compté 10 fois en 2heures de quoi péter un plomb et ceci même avec un lecteur DVD, même chose ! j'ai renvoyé l'article et demandé le remboursement !",22 personnes ont trouvé cela utile,/gp/customer-reviews/R3A0G6GY5L4YU1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",Très bonne smart tv.,10-novembre-2021,France,Achat vérifié,Acheter Lundi 8 Novembre 2021.,14 personnes ont trouvé cela utile,/gp/customer-reviews/R752PQYG8WDLJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"2,0 sur 5 étoiles",Plusieurs bug,13-juillet-2021,France,Achat vérifié,"Acheté en avril 2021, la TV est au premiers abord trés sympa pour son prix",11 personnes ont trouvé cela utile,/gp/customer-reviews/R2H9A681R3AIFK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"3,0 sur 5 étoiles",Bon produit mais pixels morts,14-novembre-2021,France,Achat vérifié,"Livraison super rien à dire, le livreur très sympathique. Il m'a même aidé à la porter jusqu'à l'étage.",6 personnes ont trouvé cela utile,/gp/customer-reviews/RSZAQFVHUI02H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"1,0 sur 5 étoiles",Mauvaise qualité de service de livraison et impossibilité de régler la luminosité de l'écran,22-juillet-2021,France,Achat vérifié,"Aucun moyen de paramétrer la luminosité de l'écran, ni même pour supprimer l'écran bleu qui polluent les yeux. Quand à la compagnie de livraison, je suis tombée sur la pire société de livraison: UPS (qui rime avec ""ça pue des fesses!!""). Un monumentale erreur d'avoir acheté un téléviseur de cette envergure et notamment lorsque la livraison est assurée par un groupe de paresseux qu'ils m'ont reposés un lapin 2 fois lorsque j'ai reprogrammé la date de livraison pour lesquelles ils n'ont jamais effectué le trajet. À éviter d'acheter l'article, vous serez instantanément déçu d'après mon vécu",6 personnes ont trouvé cela utile,/gp/customer-reviews/R9KBTL3O4KYPU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"5,0 sur 5 étoiles",scart poids réglages,1-avril-2021,France,Achat vérifié,"j’avais besoin d’un port scart- peritel , rarement présent aujourd’hui, pour conserver l’usage de mon lecteur enregistreur  vhs dvd . beaucoup de possibilités de réglage à ne pas négliger lors de la mise en route écran d’une belle finesse poids plume pour cette dimension. appareil livré avec configuration économique d’énergie (a+) bien se servir des sous menus afin d’obtenir une excellente qualité d’image malgré les mises en garde du logiciel quant à la consommation électrique... vous n’allez pas regretter le temps passé",7 personnes ont trouvé cela utile,/gp/customer-reviews/R3QW917215GE6H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"1,0 sur 5 étoiles",Un téléviseur arriver avec le son qui ne marche pas,1-avril-2021,France,Achat vérifié,Commander le téléviseur début mars,7 personnes ont trouvé cela utile,/gp/customer-reviews/RUDDHZNFI2HQ6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"3,0 sur 5 étoiles",Bonne image mais son un peu à la traine,16-janvier-2022,France,Achat vérifié,"La télévision est complète, elle fait les canaux terrestre et satellite ce qui est très bien pour une utilisation nomade. Son alimentation est en 12V et un bloc secteur est fourni ce qui la rends utilisable partout, et c'est très bien .",2 personnes ont trouvé cela utile,/gp/customer-reviews/R3K53AW6TBVIVH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"4,0 sur 5 étoiles","Belles images, compliqué à installer, il faut de la patience.  Tuner satellite  inutilisable",28-avril-2022,France,Achat vérifié,"Ce téléviseur affiche de belles images, mais il est compliqué à installer. La télécommande est assez bien conçue. La notice est ridicule, réduite à un papier pliant destiné aux illettrés. En utilisation Youtube les images sont excellentes.",,/gp/customer-reviews/R17NP1P3LON1MX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
B09D8L99FM,"1,0 sur 5 étoiles",Télé HS au bout d'un mois (commentaire du 24/01/22),23-janvier-2022,France,Achat vérifié,"J'ai acheté cette télé il y a à peine un mois (reçue le 16/12/21) lundi dernier (17/01/22), elle a commencé à se couper brutalement plusieurs fois de suite (quelques secondes après qu'on l'ait rallumée). Le lendemain matin, même plus possible de l'allumer (le logo de la marque s'affichait et hop elle se coupait, jusqu'à ne plus s'allumer du tout). Je suis rentrée en contact avec Amazon qui malheureusement ne peut pas l'échanger (vendue par un vendeur tiers, Amazon s'occupe uniquement de l'expédition) mais seulement me fournir une étiquette de retour et me rembourser. J'ai donc été obligée d'acheter une autre télé chez la concurrence. Je ne recommande ni ce produit ni ce vendeur (solufficio)",2 personnes ont trouvé cela utile,/gp/customer-reviews/R18AN00AMAS5NU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09D8L99FM
